id,college_id,branch_name,branch_code,total_seats,open_seats,obc_seats,sc_seats,st_seats,ews_seats,vjdt_seats,nt_seats,sbc_seats
1,1,Computer Science and Engineering,CSE,120,60,22,15,8,12,1,1,1
2,1,Electronics and Telecommunication Engg,EXTC,60,30,11,7,4,6,0,0,2
3,1,Mechanical Engineering,MECH,60,30,11,7,4,6,0,0,2
4,1,Civil Engineering,CIVIL,60,30,11,7,4,6,0,0,2
5,2,Computer Science and Engineering,CSE,120,60,22,15,8,12,1,1,1
6,2,Information Technology,IT,60,30,11,7,4,6,0,0,2
7,2,Electronics and Telecommunication Engg,EXTC,60,30,11,7,4,6,0,0,2
8,2,Electrical Engineering,EE,60,30,11,7,4,6,0,0,2
9,3,Computer Science and Engineering,CSE,120,60,22,15,8,12,1,1,1
10,3,Artificial Intelligence and Machine Learning,AIML,60,30,11,7,4,6,0,0,2
11,3,Mechanical Engineering,MECH,120,60,22,15,8,12,1,1,1
12,3,Civil Engineering,CIVIL,60,30,11,7,4,6,0,0,2
13,4,Computer Science and Engineering,CSE,60,30,11,7,4,6,0,0,2
14,4,Information Technology,IT,60,30,11,7,4,6,0,0,2
15,4,Mechanical Engineering,MECH,60,30,11,7,4,6,0,0,2
16,5,Computer Science and Engineering,CSE,120,60,22,15,8,12,1,1,1
17,5,Electronics and Telecommunication Engg,EXTC,60,30,11,7,4,6,0,0,2
18,5,Information Technology,IT,60,30,11,7,4,6,0,0,2
19,6,Computer Science and Engineering,CSE,120,60,22,15,8,12,1,1,1
20,6,Information Technology,IT,120,60,22,15,8,12,1,1,1
21,6,Artificial Intelligence and Data Science,AIDS,60,30,11,7,4,6,0,0,2
22,7,Computer Science and Engineering,CSE,120,60,22,15,8,12,1,1,1
23,7,Information Technology,IT,120,60,22,15,8,12,1,1,1
24,7,Electronics and Telecommunication Engg,EXTC,60,30,11,7,4,6,0,0,2
25,8,Computer Science and Engineering,CSE,180,90,34,23,12,18,1,1,1
26,8,Artificial Intelligence and Machine Learning,AIML,60,30,11,7,4,6,0,0,2
27,8,Mechanical Engineering,MECH,120,60,22,15,8,12,1,1,1
28,9,Computer Science and Engineering,CSE,120,60,22,15,8,12,1,1,1
29,9,Information Technology,IT,120,60,22,15,8,12,1,1,1
30,9,Electronics Engineering,ELEX,60,30,11,7,4,6,0,0,2
31,10,Computer Science and Engineering,CSE,120,60,22,15,8,12,1,1,1
32,10,Artificial Intelligence and Data Science,AIDS,60,30,11,7,4,6,0,0,2
33,10,Information Technology,IT,60,30,11,7,4,6,0,0,2
34,11,Computer Science and Engineering,CSE,60,30,11,7,4,6,0,0,2
35,11,Mechanical Engineering,MECH,60,30,11,7,4,6,0,0,2
36,11,Civil Engineering,CIVIL,60,30,11,7,4,6,0,0,2
37,12,Computer Science and Engineering,CSE,60,30,11,7,4,6,0,0,2
38,12,Electronics and Telecommunication Engg,EXTC,60,30,11,7,4,6,0,0,2
