# DEMO DATA - Sample dataset for demonstration purposes only
id,name,city,district,state,college_type,university,fees_per_year,avg_package_lpa,highest_package_lpa,accreditation,established_year,naac_grade,nba_accredited,total_seats
1,Government College of Engineering Pune,Pune,Pune,Maharashtra,Government,Savitribai Phule Pune University,35000,8.5,35.0,AICTE,1854,A,Yes,500
2,VJTI Mumbai,Mumbai,Mumbai City,Maharashtra,Government-Aided,Mumbai University,75000,9.0,40.0,AICTE,1887,A,Yes,600
3,COEP Technological University,Pune,Pune,Maharashtra,Autonomous,COEP Technological University,85000,10.5,50.0,AICTE,1854,A+,Yes,800
4,Walchand College of Engineering,Sangli,Sangli,Maharashtra,Government-Aided,Shivaji University,65000,6.5,25.0,AICTE,1947,A,Yes,450
5,Sardar Patel Institute of Technology,Mumbai,Mumbai Suburban,Maharashtra,Autonomous,Mumbai University,150000,11.0,45.0,AICTE,1995,A,Yes,500
6,Pune Institute of Computer Technology,Pune,Pune,Maharashtra,Private,Savitribai Phule Pune University,130000,8.0,30.0,AICTE,1983,A,Yes,700
7,Dwarkadas J. Sanghvi College of Engineering,Mumbai,Mumbai Suburban,Maharashtra,Private,Mumbai University,180000,9.5,35.0,AICTE,1994,A+,Yes,600
8,Vishwakarma Institute of Technology,Pune,Pune,Maharashtra,Autonomous,Savitribai Phule Pune University,170000,7.0,28.0,AICTE,1983,A++,Yes,850
9,KJ Somaiya College of Engineering,Mumbai,Mumbai Suburban,Maharashtra,Autonomous,Somaiya Vidyavihar University,200000,8.5,35.0,AICTE,1983,A,Yes,750
10,Thadomal Shahani Engineering College,Mumbai,Mumbai Suburban,Maharashtra,Private,Mumbai University,160000,7.5,30.0,AICTE,1983,B+,Yes,500
11,Government College of Engineering Aurangabad,Aurangabad,Aurangabad,Maharashtra,Government,Dr. Babasaheb Ambedkar Marathwada University,40000,5.0,15.0,AICTE,1960,B+,Yes,400
12,Government College of Engineering Amravati,Amravati,Amravati,Maharashtra,Government,Sant Gadge Baba Amravati University,45000,5.5,18.0,AICTE,1964,A,Yes,400
