id,college_id,branch_id,year,category,gender,round,opening_rank,closing_rank
1,1,1,2022,OPEN,ALL,1,100,200
2,1,1,2023,OPEN,ALL,1,90,190
3,1,1,2024,OPEN,ALL,1,80,180
4,1,1,2022,OBC,ALL,1,200,350
5,1,1,2023,OBC,ALL,1,190,340
6,1,1,2024,OBC,ALL,1,180,330
7,1,1,2022,SC,ALL,1,800,1200
8,1,1,2023,SC,ALL,1,780,1150
9,1,1,2024,SC,ALL,1,750,1100
10,1,1,2022,ST,ALL,1,1500,2500
11,1,1,2023,ST,ALL,1,1450,2400
12,1,1,2024,ST,ALL,1,1400,2300
13,1,1,2022,EWS,ALL,1,150,250
14,1,1,2023,EWS,ALL,1,140,240
15,1,1,2024,EWS,ALL,1,130,230
16,1,1,2022,OPEN,FEMALE,1,150,280
17,1,1,2023,OPEN,FEMALE,1,140,260
18,1,1,2024,OPEN,FEMALE,1,130,240
19,1,1,2022,OBC,FEMALE,1,250,450
20,1,1,2023,OBC,FEMALE,1,240,430
21,1,1,2024,OBC,FEMALE,1,230,410
22,1,1,2022,SC,FEMALE,1,900,1400
23,1,1,2023,SC,FEMALE,1,880,1350
24,1,1,2024,SC,FEMALE,1,850,1300
25,1,1,2022,ST,FEMALE,1,1800,3000
26,1,1,2023,ST,FEMALE,1,1750,2900
27,1,1,2024,ST,FEMALE,1,1700,2800
28,1,1,2022,OPEN,ALL,2,110,220
29,1,1,2023,OPEN,ALL,2,100,210
30,1,1,2024,OPEN,ALL,2,90,200
31,1,1,2022,OBC,ALL,2,220,380
32,1,1,2023,OBC,ALL,2,210,370
33,1,1,2024,OBC,ALL,2,200,360
34,1,1,2022,OPEN,ALL,3,120,240
35,1,1,2023,OPEN,ALL,3,110,230
36,1,1,2024,OPEN,ALL,3,100,220
37,1,1,2022,OBC,ALL,3,240,400
38,1,1,2023,OBC,ALL,3,230,390
39,1,1,2024,OBC,ALL,3,220,380
40,1,2,2022,OPEN,ALL,1,200,400
41,1,2,2023,OPEN,ALL,1,190,380
42,1,2,2024,OPEN,ALL,1,180,360
43,1,2,2022,OBC,ALL,1,400,700
44,1,2,2023,OBC,ALL,1,380,680
45,1,2,2024,OBC,ALL,1,360,650
46,1,2,2022,OPEN,ALL,3,250,450
47,1,2,2023,OPEN,ALL,3,240,430
48,1,2,2024,OPEN,ALL,3,230,410
49,1,2,2022,OBC,ALL,3,450,750
50,1,2,2023,OBC,ALL,3,430,730
51,1,2,2024,OBC,ALL,3,410,700
52,2,5,2022,OPEN,ALL,1,150,250
53,2,5,2023,OPEN,ALL,1,140,240
54,2,5,2024,OPEN,ALL,1,130,230
55,2,5,2022,OBC,ALL,1,300,500
56,2,5,2023,OBC,ALL,1,280,480
57,2,5,2024,OBC,ALL,1,260,450
58,2,5,2022,OPEN,ALL,3,200,300
59,2,5,2023,OPEN,ALL,3,190,290
60,2,5,2024,OPEN,ALL,3,180,280
61,2,5,2022,OBC,ALL,3,350,550
62,2,5,2023,OBC,ALL,3,330,530
63,2,5,2024,OBC,ALL,3,310,500
64,3,9,2022,OPEN,ALL,1,180,280
65,3,9,2023,OPEN,ALL,1,170,270
66,3,9,2024,OPEN,ALL,1,160,260
67,3,9,2022,OBC,ALL,1,350,550
68,3,9,2023,OBC,ALL,1,330,530
69,3,9,2024,OBC,ALL,1,310,500
70,3,9,2022,OPEN,ALL,3,220,320
71,3,9,2023,OPEN,ALL,3,210,310
72,3,9,2024,OPEN,ALL,3,200,300
73,3,9,2022,OBC,ALL,3,400,600
74,3,9,2023,OBC,ALL,3,380,580
75,3,9,2024,OBC,ALL,3,360,550
