id,college_id,year,companies_visited,students_placed,placement_percentage,avg_package_lpa,median_package_lpa,highest_package_lpa
1,1,2022,120,400,90.5,8.2,7.5,30.0
2,1,2023,130,420,91.0,8.5,8.0,32.0
3,1,2024,140,430,92.0,8.8,8.2,35.0
4,2,2022,150,500,92.0,8.8,8.0,35.0
5,2,2023,160,520,93.0,9.0,8.5,38.0
6,2,2024,170,540,94.0,9.5,8.8,40.0
7,3,2022,160,650,93.0,10.0,9.0,45.0
8,3,2023,170,680,94.0,10.5,9.5,48.0
9,3,2024,180,700,95.0,11.0,10.0,50.0
10,4,2022,100,350,85.0,6.0,5.5,20.0
11,4,2023,110,370,86.0,6.5,6.0,22.0
12,4,2024,120,380,87.0,6.8,6.2,25.0
13,5,2022,130,400,94.0,10.5,9.5,40.0
14,5,2023,140,420,95.0,11.0,10.0,42.0
15,5,2024,150,440,96.0,11.5,10.5,45.0
16,6,2022,120,550,92.0,7.5,6.5,25.0
17,6,2023,130,580,93.0,8.0,7.0,28.0
18,6,2024,140,600,94.0,8.2,7.5,30.0
19,7,2022,110,450,90.0,9.0,8.0,30.0
20,7,2023,120,480,91.0,9.5,8.5,32.0
21,7,2024,130,500,92.0,10.0,9.0,35.0
22,8,2022,140,650,90.0,6.5,5.5,22.0
23,8,2023,150,680,91.0,7.0,6.0,25.0
24,8,2024,160,700,92.0,7.2,6.5,28.0
25,9,2022,130,550,88.0,8.0,7.0,30.0
26,9,2023,140,580,89.0,8.5,7.5,32.0
27,9,2024,150,600,90.0,8.8,8.0,35.0
28,10,2022,100,380,85.0,7.0,6.0,25.0
29,10,2023,110,400,86.0,7.5,6.5,28.0
30,10,2024,120,420,87.0,7.8,7.0,30.0
31,11,2022,60,250,75.0,4.5,4.0,12.0
32,11,2023,70,270,78.0,5.0,4.5,14.0
33,11,2024,80,280,80.0,5.2,4.8,15.0
34,12,2022,60,260,76.0,5.0,4.5,15.0
35,12,2023,70,280,79.0,5.5,5.0,17.0
36,12,2024,80,290,81.0,5.8,5.2,18.0
37,13,2022,140,700,88.0,6.5,5.5,20.0
38,13,2023,150,720,89.0,7.0,6.0,22.0
39,13,2024,160,750,90.0,7.2,6.5,25.0
40,14,2022,120,550,86.0,6.0,5.5,18.0
41,14,2023,130,580,88.0,6.5,6.0,20.0
42,14,2024,140,600,89.0,6.8,6.2,24.0
43,15,2022,80,320,85.0,5.5,5.0,16.0
44,15,2023,90,340,86.0,6.0,5.5,18.0
45,15,2024,100,360,88.0,6.2,5.8,20.0
46,16,2022,100,450,87.0,7.0,6.0,25.0
47,16,2023,110,480,88.0,7.5,6.5,28.0
48,16,2024,120,500,90.0,7.8,7.0,30.0
49,17,2022,110,500,85.0,6.0,5.5,18.0
50,17,2023,120,530,86.0,6.5,6.0,20.0
51,17,2024,130,550,88.0,6.8,6.2,22.0
52,18,2022,120,600,84.0,5.0,4.5,14.0
53,18,2023,130,620,85.0,5.5,5.0,16.0
54,18,2024,140,650,86.0,5.8,5.2,18.0
55,19,2022,100,450,83.0,5.5,5.0,15.0
56,19,2023,110,480,85.0,6.0,5.5,18.0
57,19,2024,120,500,86.0,6.2,5.8,20.0
58,20,2022,80,350,80.0,4.5,4.0,12.0
59,20,2023,90,370,82.0,5.0,4.5,14.0
60,20,2024,100,380,84.0,5.2,4.8,15.0
61,21,2022,90,400,82.0,5.0,4.5,14.0
62,21,2023,100,430,84.0,5.5,5.0,16.0
63,21,2024,110,450,85.0,5.8,5.2,18.0
64,22,2022,180,800,88.0,7.5,6.5,30.0
65,22,2023,190,830,89.0,8.0,7.0,35.0
66,22,2024,200,850,90.0,8.2,7.5,40.0
67,23,2022,150,600,87.0,8.0,7.0,28.0
68,23,2023,160,630,88.0,8.5,7.5,32.0
69,23,2024,170,650,90.0,8.8,8.0,35.0
70,24,2022,110,500,84.0,4.5,4.0,12.0
71,24,2023,120,530,85.0,5.0,4.5,14.0
72,24,2024,130,550,86.0,5.2,4.8,15.0
73,25,2022,80,400,82.0,4.0,3.8,10.0
74,25,2023,90,430,84.0,4.5,4.0,11.0
75,25,2024,100,450,85.0,4.8,4.2,12.0
76,26,2022,60,250,78.0,5.0,4.5,15.0
77,26,2023,70,270,80.0,5.5,5.0,17.0
78,26,2024,80,280,82.0,5.8,5.2,18.0
79,27,2022,80,350,80.0,4.5,4.0,12.0
80,27,2023,90,380,82.0,5.0,4.5,14.0
81,27,2024,100,400,84.0,5.2,4.8,15.0
82,28,2022,100,500,83.0,4.5,4.0,12.0
83,28,2023,110,530,85.0,5.0,4.5,14.0
84,28,2024,120,550,86.0,5.2,4.8,15.0
85,29,2022,50,200,70.0,3.5,3.0,8.0
86,29,2023,60,220,72.0,4.0,3.5,9.0
87,29,2024,70,230,75.0,4.2,3.8,10.0
88,30,2022,70,300,78.0,4.0,3.8,10.0
89,30,2023,80,330,80.0,4.5,4.0,11.0
90,30,2024,90,350,82.0,4.8,4.2,12.0
91,31,2022,50,200,75.0,4.0,3.5,10.0
92,31,2023,60,220,78.0,4.5,4.0,11.0
93,31,2024,70,240,80.0,4.8,4.2,12.0
94,32,2022,60,220,76.0,5.5,5.0,16.0
95,32,2023,70,240,79.0,6.0,5.5,18.0
96,32,2024,80,250,81.0,6.2,5.8,20.0
97,33,2022,50,200,72.0,3.5,3.0,8.0
98,33,2023,60,220,75.0,4.0,3.5,9.0
99,33,2024,70,240,78.0,4.2,3.8,10.0
100,34,2022,60,250,78.0,4.5,4.0,12.0
101,34,2023,70,270,80.0,5.0,4.5,14.0
102,34,2024,80,280,82.0,5.2,4.8,15.0
103,35,2022,80,250,90.0,9.0,8.0,35.0
104,35,2023,90,260,92.0,9.5,8.5,38.0
105,35,2024,100,270,94.0,10.0,9.0,40.0
